Agent_ID,Family_Size,Labor_Count,Income_Level,Initial_Savings_Yuan,Land_Area_Mu,Risk_Score,Risk_Profile_Prompt,Debt_Yuan
0,2,1,Mid,69840.0,3.93,0.705,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
1,3,2,Mid,48876.0,6.13,0.581,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
2,2,1,Mid-High,81612.0,3.83,0.436,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
3,7,6,Mid,233667.0,18.74,0.495,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
4,4,3,Mid-Low,33644.0,10.05,0.642,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
5,2,2,High,144374.0,4.09,0.556,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
6,4,3,Mid-Low,122613.0,9.17,0.51,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
7,2,1,Mid-High,77345.0,4.25,0.455,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
8,4,3,Mid-High,83598.0,8.11,0.608,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
9,1,1,Low,14393.0,2.59,0.633,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
10,1,1,Low,5990.0,2.5,0.483,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
11,4,3,Mid,110771.0,10.67,0.66,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
12,4,3,Mid,15041.0,7.89,0.623,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
13,1,1,Mid-High,33253.0,2.44,0.587,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
14,3,3,High,138035.0,8.23,0.436,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
15,4,2,Mid-High,256491.0,9.51,0.577,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
16,4,2,Low,13153.0,8.81,0.303,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
17,2,2,Mid,19983.0,4.38,0.437,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
18,6,5,Low,30732.0,12.62,0.478,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
19,4,2,High,137346.0,8.53,0.869,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
20,5,4,Mid-Low,46970.0,12.13,0.722,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
21,1,1,Low,9000.0,2.46,0.708,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
22,3,3,Low,36603.0,8.03,0.32,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
23,2,2,Mid-Low,34410.0,4.07,0.51,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
24,4,3,Mid-Low,139350.0,8.27,0.639,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
25,3,2,Mid-High,138959.0,8.33,0.518,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
26,3,1,Low,52712.0,8.02,0.34,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
27,2,1,Mid-High,29906.0,3.93,0.627,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
28,4,4,Mid-Low,44496.0,8.15,0.38,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
29,1,1,Mid-High,83222.0,2.16,0.39,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
30,3,2,High,314275.0,6.6,0.496,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
31,3,2,Low,22559.0,5.68,0.371,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
32,3,3,Mid-High,121863.0,7.72,0.464,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
33,6,5,High,240914.0,12.95,0.508,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
34,1,1,Mid,57864.0,2.52,0.313,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
35,3,3,Mid-Low,40974.0,8.0,0.346,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
36,1,1,High,51134.0,2.44,0.246,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
37,1,1,Mid-High,69727.0,2.62,0.67,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
38,5,4,Mid-High,179886.0,10.9,0.8,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
39,1,1,Mid-Low,7121.0,2.16,0.589,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
40,3,2,High,207305.0,6.77,0.477,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
41,4,4,High,331731.0,10.27,0.427,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
42,2,2,Low,27388.0,4.57,0.524,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
43,2,2,Low,21392.0,5.13,0.638,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
44,3,2,Mid,113536.0,5.66,0.308,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
45,1,1,Low,8680.0,2.31,0.59,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
46,3,3,High,79837.0,8.24,0.579,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
47,3,2,High,301041.0,8.26,0.509,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
48,3,2,Mid-High,218893.0,7.37,0.459,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
49,4,2,Mid,56124.0,8.68,0.407,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
50,5,5,Mid-Low,147366.0,10.99,0.243,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
51,6,6,Low,25807.0,15.45,0.632,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
52,4,1,Mid-High,193085.0,10.97,0.411,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
53,5,4,High,304765.0,11.86,0.619,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
54,3,2,High,79993.0,8.16,0.628,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
55,1,1,Mid-High,64839.0,2.15,0.66,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
56,2,1,Mid-High,229812.0,5.03,0.561,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
57,5,2,High,641574.0,10.05,0.296,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
58,3,3,High,596562.0,8.38,0.428,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
59,4,3,Mid,130088.0,10.88,0.721,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
60,1,1,High,172258.0,2.59,0.213,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
61,4,2,Mid,124855.0,8.56,0.513,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
62,5,4,Mid-Low,48062.0,11.95,0.502,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
63,6,4,Low,80015.0,15.15,0.355,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
64,2,1,Mid,77095.0,4.26,0.646,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
65,1,1,Mid-Low,15104.0,2.12,0.369,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
66,2,2,Low,29618.0,4.05,0.413,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
67,5,2,Mid-Low,264388.0,9.75,0.24,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
68,5,3,High,667153.0,13.98,0.458,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
69,1,1,Low,8077.0,2.13,0.686,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
70,1,1,Low,21224.0,2.42,0.534,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
71,4,2,Mid,58669.0,11.06,0.26,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
72,3,3,Low,7735.0,6.48,0.46,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
73,4,1,Mid,32954.0,10.32,0.46,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
74,3,2,Mid,181192.0,7.32,0.62,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
75,3,2,Mid,96574.0,7.82,0.608,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
76,2,1,Mid,79186.0,5.32,0.597,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
77,4,4,High,284054.0,9.86,0.56,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
78,2,2,Low,25745.0,5.05,0.335,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
79,1,1,Low,11550.0,2.03,0.643,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
80,1,1,High,21201.0,2.39,0.305,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
81,3,2,Mid-Low,47148.0,5.88,0.377,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
82,3,2,Mid,166794.0,6.13,0.407,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
83,2,2,Mid-Low,64144.0,3.86,0.74,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
84,1,1,Mid,35645.0,1.97,0.645,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
85,2,1,Low,16682.0,5.32,0.586,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
86,1,1,Low,12539.0,2.61,0.637,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
87,3,3,Mid-Low,115975.0,6.68,0.709,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
88,2,1,Mid-Low,35164.0,5.49,0.254,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
89,1,1,Mid-High,16658.0,2.78,0.522,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
90,3,2,Low,29417.0,7.97,0.767,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
91,2,1,Mid-High,64044.0,3.96,0.089,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
92,3,3,High,250241.0,7.28,0.502,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
93,2,2,High,153080.0,5.02,0.413,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
94,4,3,Mid,228042.0,11.1,0.47,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
95,1,1,Low,13299.0,2.55,0.314,保守型 (Conservative): 你厌恶风险，优先考虑资产安全，只有在较高确定性下才考虑投资。,0
96,1,1,Mid,14967.0,2.03,0.588,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
97,4,2,Mid-Low,97647.0,10.05,0.591,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
98,2,1,Mid,72687.0,4.83,0.831,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
99,2,2,Mid-Low,67030.0,3.96,0.514,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
